Molar,Trait,Side,Mean,Var,n,total.h2,total.c2,total.e2,resid.h2,resid.h2SE,CV,t.h2.CV,lnMean
M1,md,R,10.47,0.3,362,0.59,0.36,0.05,0.927,0.14,0.028653295,0.016905444,2.348514025
M2,md,R,12.36,0.62,490,0.49,0.444,0.06,0.886,0.1,0.050161812,0.024579288,2.514465452
M3,md,R,15.28,1.6,232,0.4,0.449,0.15,0.722,0.22,0.104712042,0.041884817,2.726544784
M1,bl,R,7.36,0.26,334,0.67,0.146,0.18,0.781,0.16,0.035326087,0.023668478,1.996059933
M2,bl,R,8.61,0.38,475,0.43,0.309,0.26,0.622,0.12,0.044134727,0.018977933,2.152924318
M3,bl,R,8.68,0.51,463,0.38,0.391,0.23,0.63,0.11,0.05875576,0.022327189,2.161021529
M1,md,L,10.47,0.33,357,0.61,0.284,0.11,0.848,0.13,0.031518625,0.019226361,2.348514025
M2,md,L,12.31,0.66,485,0.32,0.489,0.19,0.628,0.11,0.053614947,0.017156783,2.51041194
M3,md,L,15.2,1.58,336,0.25,0.404,0.35,0.415,0.16,0.103947368,0.025986842,2.721295428
M1,bl,L,7.32,0.26,342,0.24,0.186,0.57,0.289,0.19,0.035519126,0.00852459,1.990610328
M2,bl,L,8.6,0.46,490,0.31,0.341,0.35,0.469,0.12,0.053488372,0.016581395,2.151762203
M3,bl,L,8.62,0.48,470,0.26,0.343,0.4,0.392,0.1,0.055684455,0.014477958,2.154085085
