"","Species","SE.m1.md","SE.m2.md","SE.m3.md","SE.m1.bl","SE.m2.bl","SE.m3.bl","m1.md","m2.md","m3.md","m1.bl","m2.bl","m3.bl","n"
"1","Allenopithecus_nigroviridis",0.0147740889654511,0.0123596022565612,0.0169931027631355,0.016584071836786,0.0169689057713503,0.0243811130127793,1.78004405052697,1.89290749053443,1.8639560993243,1.5433803375812,1.69598857898961,1.54179808504526,16
"2","Cercopithecus_cephus_cephus",0.0072557634166836,0.00763755968241377,0.0092532104729659,0.0104064838672757,0.0130698258156375,0.0136545922186341,1.72165149174249,1.78690711122053,1.72777312551533,1.43195504824907,1.56249802729089,1.38651025403899,40
"3","Cercopithecus_diana",0.00902791882632417,0.00797889137727669,0.0096593779634505,0.0106531180620861,0.0111601621071391,0.0142551642904397,1.80799595529216,1.8843848860654,1.84866414976212,1.48511845657311,1.58762997795988,1.43217972451647,29
"4","Cercopithecus_erythrogaster",0.00891291671367126,0.0172060911565049,0.0177181927596329,0.0181178545458014,0.0276725822530922,0.0423320062940933,1.72316260837323,1.79765628342187,1.74055697311561,1.44529869350843,1.60280679150142,1.37093833118441,6
"5","Cercopithecus_erythrotis",0.0112999159586205,0.0107917858335872,0,0.0157493335296854,0.0285792069199744,0.0499101676411055,1.66952799256215,1.71553987807201,1.70474809223843,1.337505173512,1.4754981898563,1.33638419347879,2
"6","Cercopithecus_lhoesti",0.0115863785610037,0.0117681722608658,0.012136346859736,0.0172689427182978,0.014523439574393,0.0179440431515652,1.85397762250837,1.91349823064558,1.8872508885859,1.56582379332013,1.68906378317835,1.53988137500279,27
"7","Cercopithecus_mitis",0.011325413615355,0.0127596986861577,0.0150677439566508,0.0132332135730006,0.0156517101274861,0.0185677680665062,1.84320955868072,1.9071036067233,1.86105568264212,1.53006215462364,1.65109044360948,1.5149332941966,20
"8","Cercopithecus_mona",0.0109370569633091,0.0103277061932666,0.0114589646032341,0.0118231776289448,0.0123936534175716,0.0146206496357019,1.72495160323524,1.80896026104655,1.78652280792804,1.46237116726286,1.63767728584203,1.47497258151691,30
"9","Cercopithecus_neglectus",0.0109706893392537,0.00989688644492711,0.0135232820401042,0.010829665300718,0.00912802405227514,0.01494951474191,1.81279989367371,1.90024601510766,1.89573333436348,1.51285725857344,1.67171101822101,1.54254239720817,41
"10","Cercopithecus_nictitans",0.00814093809205215,0.00781045800872402,0.00892798388793587,0.0090013418232156,0.00863553773608474,0.0105261509228757,1.80080043053262,1.89863600892162,1.85360337369879,1.46835044477929,1.6274643741372,1.49342463890079,45
"11","Cercopithecus_petaurista",0.0129103925817569,0.0106610839982586,0.0125002671460447,0.0130044327869571,0.0139102116783741,0.0167462339305698,1.73966088075205,1.82647907395084,1.79138663989591,1.45162911009334,1.60316765649815,1.40155053628231,17
"12","Cercopithecus_pogonias",0.00852491148150568,0.00752575536823114,0.00834495673522852,0.0130503507813538,0.0126074700379965,0.0160002960486359,1.71533423974504,1.7987806467945,1.7677776135673,1.48233314394282,1.67743747978951,1.48277318069622,15
"13","Cercopithecus_preussi",0.012826391565573,0.0139536302395036,0.0139803892801537,0.0112122586008329,0.014189676797756,0.0170449426086618,1.78292463081004,1.86590423147591,1.83653225791481,1.50733175733137,1.64735172576058,1.47743993573204,14
"14","Cercopithecus_wolfi",0.00871750220007463,0.00857278815536753,0.00972712741002834,0.0108507638004596,0.0112224005600983,0.0107811181743226,1.66545620419218,1.74649109096569,1.72981238885541,1.39038334177573,1.58317462463159,1.39897891284466,35
"15","Chlorocebus_aethiops",0.00646163904940548,0.0062666818883811,0.00795844870008458,0.00607792603576108,0.00726714639312238,0.0091394030143136,1.85083084195752,1.93005047540719,1.91738796832613,1.59161460295052,1.72925664105612,1.61765762408863,53
"16","Erythrocebus_patas",0.0102900506595458,0.00972579299601827,0.00837752699732058,0.0102007716745678,0.0107615669955431,0.0114875172225343,1.93169055405347,2.07540082628664,2.04877171483515,1.67077245176188,1.81444193466234,1.68875599442199,38
"17","Miopithecus_talapoin",0.00868887676825518,0.00913257454558079,0.00941572450655175,0.00898003109413393,0.0104937244404744,0.00946689271175225,1.36615054993697,1.41692680422711,1.37454309459506,1.1512322932711,1.24362076603273,1.08738091156581,39
"18","Alouatta_belzebul",0.0158819879102284,0.0167854939435682,0.019598226256882,0.0182528606901918,0.0163774198930042,0.0143176927473909,1.95681376702086,2.03121101806618,2.12546898757629,1.73039934523502,1.81462292780897,1.7000585715846,20
"19","Alouatta_caraya",0.0120706376854379,0.0146788270888895,0.0148583630667248,0.0159163560983715,0.0139012985839746,0.0193194637781045,1.88083026326841,1.98952989486753,2.16915537009487,1.74534515347993,1.81706978599718,1.67719334343092,20
"20","Alouatta_guariba",0.0123621283234786,0.0116182579408043,0.0163357470149923,0.0124118243909891,0.0131571478754491,0.0195040347592846,1.92190367511044,2.00714055452576,2.15612960462516,1.71159086430639,1.79862271051452,1.68190445084682,18
"21","Alouatta_palliata",0.00845309165880213,0.0087054778406913,0.0135008709601339,0.0108896179597951,0.0107031492092798,0.0150464570609718,1.94799867270691,2.05017065098297,2.09494578952784,1.75659178193953,1.85493396891572,1.6853228590089,35
"22","Alouatta_pigra",0.00818249614068779,0.0097538991862638,0.0201887445671751,0.0134313168614454,0.017854296883252,0.0206531000143434,1.95914366311024,2.04053297947858,2.13886011614774,1.65579148862016,1.7807402060492,1.64827653362679,17
"23","Alouatta_seniculus",0.00959135651731907,0.00911808055657852,0.0122125827185434,0.00951484241784102,0.0086414352759513,0.0121939563907342,1.98316855802181,2.06648004159159,2.16794795043118,1.80570109123386,1.86510841685721,1.72760341023073,41
"24","Ateles_geoffroyi",0.00602984245309639,0.00650213109836329,0.0101650790929032,0.00693410493611241,0.00761544607151867,0.0134614304391407,1.67515196349179,1.66975492314322,1.60083873378774,1.59543405278524,1.61041942261703,1.49503216018097,42
"25","Ateles_paniscus",0.00975280441957548,0.00976922646425094,0.0140458074362681,0.0116667740237767,0.0138821335482638,0.0183399846632427,1.68361820723609,1.67833656791442,1.58279460709836,1.59593810254699,1.57395960320965,1.45476930807266,29
"26","Brachyteles_arachnoides",0.0252952912195235,0.0259858203419501,0.014417562430771,0.0280954258972643,0.0272453686147698,0.0263294645045307,2.02674537666787,2.02051237199087,1.94035118538002,1.79109078085646,1.77983858006709,1.64021678660764,8
"27","Lagothrix_lagotricha",0.00964377180239352,0.0124728962825399,0.0132860140796211,0.0146103079114601,0.0114433266008776,0.0183117875802312,1.72570174211399,1.7804372095795,1.69942071250408,1.65405085977894,1.72415755697226,1.60183913425685,23
"28","Aotus_lemurinus",0.00812768633265694,0.00958141861617566,0.0157418315385207,0.00827378773692169,0.0085231621858432,0.0106637906256209,1.1513277486399,1.16296000779705,1.06672547427356,1.0746721457257,1.06539379474728,0.853322737702147,26
"29","Aotus_trivirgatus",0.00820247641835111,0.00848873649781079,0.0122749872002343,0.00988649196032415,0.00956962280405771,0.0220272898659953,1.17796800525671,1.17890263398281,1.11885923821181,1.09860952169741,1.06146418258352,0.930664499730715,25
"30","Callithrix_jacchus",0.00800272036567183,0.0353827440985317,NA,0.0177060347972876,0.0288670395883496,NA,0.832748826863467,0.640500066323181,NA,0.654140106225827,0.425371439020028,NA,6
"31","Callithrix_penicillata",0.0217002323604227,0.026170419585996,NA,0.0201798577388331,0.0373251261083993,NA,0.910114732766224,0.723256709824105,NA,0.807815381302961,0.569527053879086,NA,8
"32","Callithrix_pygmaea",0.00803095264035647,0.0098399652940547,NA,0.00979754348911343,0.0103758355651571,NA,0.531758939286846,0.442939209272621,NA,0.384117920349338,0.221835986775889,NA,37
"33","Cebus_apella",0.00678762224897391,0.00968968157503596,0.00998811832974471,0.00659490055155185,0.008118057385016,0.0112736884522608,1.56539002213985,1.50003637520699,1.26074399258287,1.52939984476581,1.43913360426001,1.21258825370789,39
"34","Cebus_capucinus",0.00507462840796271,0.00526412034505411,0.00769652732143427,0.00620290706132996,0.00570985472667835,0.00898164823706603,1.55735520844491,1.46906551909975,1.35835951180884,1.49504112080707,1.41184414468878,1.21029612835014,53
"35","Leontopithecus_rosalia",0.0116694048247778,0.00969765497560376,NA,0.0117029064970695,0.00941487515199626,NA,1.1448649454837,1.05066729181872,NA,0.999689925381831,0.853795600769192,NA,15
"36","Saguinus_fuscicollis",0.00910661377956975,0.0107652006720674,NA,0.0087041181218542,0.0115329304641302,NA,0.874092901333236,0.743491716774744,NA,0.726294309402695,0.509209654184613,NA,34
"37","Saguinus_geoffroyi",0.0041440307790183,0.00865776308501799,NA,0.00554769605747968,0.00844390874108856,NA,1.03130776786016,0.837501865675178,NA,0.781328670289509,0.553056138441262,NA,42
"38","Saguinus_niger",0.00677733344707887,0.00638060655899361,NA,0.00596165618928268,0.00794613516940172,NA,0.952003784276828,0.782994488624362,NA,0.638608730718809,0.404305140200905,NA,57
"39","Saimiri_boliviensis",0.00661756142870653,0.00666348395803061,0.00778035858792076,0.00677081138975635,0.00835473979043308,0.00806341924718271,0.979870269059724,0.90988152433358,0.752041358250342,0.988841234605176,0.857268256007964,0.509127638847666,46
"40","Bunopithecus_hoolock",0.00628347498223166,0.00425173046490324,0.00755529308890235,0.00666613203119822,0.00594224922577653,0.00815483216390207,1.94375815743016,2.04998658300445,2.01956164087468,1.75415235120586,1.88050501584496,1.83521285196349,52
"41","Gorilla_gorilla_gorilla",0.00937052334979576,0.0104322865213254,0.0125832385025967,0.00960710301006758,0.0109781285325797,0.0131305067927729,2.7567632876596,2.84822418150773,2.83927177971408,2.59278703916789,2.68371913072339,2.60180894704237,40
"42","Homo_sapiens",0.0119469251630235,0.0126467884535962,0.0216579705031107,0.0129715131957879,0.0132627716624639,0.0193248910509723,2.43803413252147,2.43241826140874,2.45762670431197,2.35898682649444,2.34179485183456,2.31062645694645,20
"43","Hylobates_agilis",0.00898118711434033,0.0100448594803242,0.0113436250829799,0.00705171531820621,0.0113045214004363,0.0140424543978389,1.82881018937149,1.86714672975949,1.85913749310483,1.63744519666975,1.68067345182987,1.61827852506679,25
"44","Hylobates_klossii",0.0107293178160626,0.0102152377440858,0.0153565799591252,0.00976179503690284,0.0102758251856155,0.0138057184398884,1.79879479963268,1.8028708020233,1.65494486296966,1.5595939689309,1.61509744553979,1.4786901699469,21
"45","Hylobates_lar",0.00815237413688075,0.0101532251310023,0.0103611582575534,0.0110060736949827,0.00907948395277875,0.0113281213503461,1.83754371952211,1.8928715735639,1.89039444405134,1.66281806795408,1.73478336205811,1.69484789164613,40
"46","Hylobates_pileatus",0.0556016438182947,0.0288596929279237,0.0499503856013513,0.0136068831931478,0.0120953813075348,0.00998609574208169,1.84542165261714,1.85428591834653,1.84729699298729,1.56552752642755,1.67155728498698,1.68713804240029,5
"47","Nomascus_concolor",0.0105659621754362,0.0116257785846009,0.0133183741747435,0.0130244053827642,0.0144111018877348,0.0168006479239973,1.89580903527567,1.9518880975887,1.90665575801988,1.66205731311453,1.76957591240437,1.71165569242808,30
"48","Pan_paniscus",0.0080622346377074,0.0104580461830026,0.0105418703866987,0.00968409694846703,0.0094078838505788,0.00987618147717025,2.30292013336041,2.33229581483253,2.24087358625814,2.17167253070229,2.17386485959656,2.09165395403264,38
"49","Pan_troglodytes_schweinfurthii",0.00680698097338699,0.00706314300035794,0.0106519086591202,0.00785397807316618,0.0102507981206478,0.0123225775648093,2.42983247119015,2.47557468723245,2.43454465608428,2.29686546356535,2.33861232044853,2.26094791226054,36
"50","Pan_troglodytes_troglodytes",0.00683744403102592,0.00965158094644596,0.013257485981375,0.00731565360767069,0.00840956467324611,0.0107267025886962,2.42551812012688,2.44680764580408,2.38656736754392,2.29289054879359,2.33333459369674,2.2673759325379,39
"51","Pongo_abelii",0.017279865324837,0.02527862572562,0.0303095331200589,0.0267921666367847,0.0259572776797345,0.0364989178569707,2.55833256272401,2.61256987533817,2.61544768593362,2.43533808812764,2.50161742565223,2.41438551509804,7
"52","Pongo_pygmaeus",0.00943585299736063,0.011604646964744,0.0119524840391636,0.00961652446882269,0.0116219262160834,0.0144679705220179,2.58282908618296,2.62090510933601,2.61575433961329,2.48236823666196,2.51101346543437,2.4244044877437,40
"53","Symphalangus_syndactylus",0.00701825576683212,0.00759457080521732,0.0103467753572132,0.00674790821992288,0.00734493695527552,0.0122196751867502,2.09109019094136,2.18243198990224,2.1690841892657,1.86900832275278,1.95706893978407,1.89995423053711,55
